Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
WOODS SQUARE,WOODLANDS SQUARE,Office,"917,431.00",548.96,"1,671",Apr-25,Strata,51,"17,989",99 yrs lease commencing from 2014,25,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,200,000.00",548.96,"2,186",Apr-25,Strata,51,"23,529",99 yrs lease commencing from 2011,14,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,192,802.00",559.73,"2,131",Apr-25,Strata,52,"22,939",99 yrs lease commencing from 2014,25,11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"800,000.00",409.03,"1,956",Apr-25,Strata,38,"21,053",Freehold,15,01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"644,444.00",365.98,"1,761",Apr-25,Strata,34,"18,954",Freehold,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,238,000.00",559.73,"2,212",Apr-25,Strata,52,"23,808",99 yrs lease commencing from 2014,25,11 to 15
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"820,000.00",322.92,"2,539",Apr-25,Strata,30,"27,333",Freehold,15,01 to 05
N.A.,ARMENIAN STREET,Office,"3,080,000.00","1,184.04","2,601",Apr-25,Strata,110,"28,000",99 yrs lease commencing from 2007,06,01 to 05
THE GOLDEN MILE,BEACH ROAD,Office,"4,756,858.00","1,291.68","3,683",Apr-25,Strata,120,"39,640",99 yrs lease commencing from 2024,07,01 to 05
HOA NAM BUILDING,FOCH ROAD,Office,"600,000.00",236.81,"2,534",Apr-25,Strata,22,"27,273",Freehold,08,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,622,807.00",753.48,"2,154",Apr-25,Strata,70,"23,183",99 yrs lease commencing from 2014,25,06 to 10
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"900,000.00",215.28,"4,181",Apr-25,Strata,20,"45,000",999 yrs lease commencing from 1871,09,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"1,050,000.00",398.27,"2,636",Apr-25,Strata,37,"28,378",Freehold,09,11 to 15
HIGH STREET PLAZA,HIGH STREET,Office,"3,500,000.00","1,291.68","2,710",Apr-25,Strata,120,"29,167",999 yrs lease commencing from 1827,06,01 to 05
SIM LIM TOWER,JALAN BESAR,Office,"1,260,000.00",592.02,"2,128",Mar-25,Strata,55,"22,909",Freehold,08,06 to 10
N.A.,JALAN SENANG,Office,"2,780,000.00","1,528.49","1,819",Mar-25,Strata,142,"19,577",999 yrs lease commencing from 1967,14,-
SOHO LIFE,JOO CHIAT ROAD,Office,"1,600,000.00","1,011.82","1,581",Mar-25,Strata,94,"17,021",Freehold,15,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"660,000.00",344.45,"1,916",Mar-25,Strata,32,"20,625",Freehold,15,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,685,700.00",936.47,"1,800",Mar-25,Strata,87,"19,376",99 yrs lease commencing from 1970,02,26 to 30
WOODS SQUARE,WOODLANDS SQUARE,Office,"950,000.00",548.96,"1,731",Mar-25,Strata,51,"18,627",99 yrs lease commencing from 2014,25,01 to 05
THE GOLDEN MILE,BEACH ROAD,Office,"3,149,780.00",904.18,"3,484",Mar-25,Strata,84,"37,497",99 yrs lease commencing from 2024,07,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,163,000.00",548.96,"2,119",Mar-25,Strata,51,"22,804",99 yrs lease commencing from 2014,25,11 to 15
THE GOLDEN MILE,BEACH ROAD,Office,"3,149,780.00",904.18,"3,484",Mar-25,Strata,84,"37,497",99 yrs lease commencing from 2024,07,01 to 05
PARKWAY PARADE,MARINE PARADE ROAD,Office,"1,900,000.00",925.7,"2,052",Mar-25,Strata,86,"22,093",99 yrs lease commencing from 1979,15,16 to 20
VISION EXCHANGE,VENTURE DRIVE,Office,"950,000.00",516.67,"1,839",Mar-25,Strata,48,"19,792",99 yrs lease commencing from 2013,22,11 to 15
THE PLAZA,BEACH ROAD,Office,"1,270,000.00",828.83,"1,532",Mar-25,Strata,77,"16,494",99 yrs lease commencing from 1968,07,11 to 15
VISION EXCHANGE,VENTURE DRIVE,Office,"950,000.00",516.67,"1,839",Mar-25,Strata,48,"19,792",99 yrs lease commencing from 2013,22,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"888,000.00",893.41,994,Mar-25,Strata,83,"10,699",99 yrs lease commencing from 1970,07,06 to 10
ASCENT @ 456,BALESTIER ROAD,Office,"1,195,000.00",452.09,"2,643",Mar-25,Strata,42,"28,452",Freehold,12,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"6,739,000.00","2,206.62","3,054",Mar-25,Strata,205,"32,873",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"8,290,000.00","2,669.47","3,105",Mar-25,Strata,248,"33,427",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"4,449,000.00","1,410.08","3,155",Mar-25,Strata,131,"33,962",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"4,287,000.00","1,367.03","3,136",Mar-25,Strata,127,"33,756",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"5,974,000.00","1,905.23","3,136",Mar-25,Strata,177,"33,751",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"10,261,000.00","3,379.90","3,036",Mar-25,Strata,314,"32,678",99 yrs lease commencing from 2023,09,01 to 05
CENTRIUM SQUARE,SERANGOON ROAD,Office,"1,570,000.00",613.55,"2,559",Mar-25,Strata,57,"27,544",Freehold,08,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"937,300.00",721.19,"1,300",Mar-25,Strata,67,"13,990",99 yrs lease commencing from 1970,07,01 to 05
SOUTHBANK,NORTH BRIDGE ROAD,Office,"2,238,000.00","1,593.07","1,405",Mar-25,Strata,148,"15,122",99 yrs lease commencing from 2006,07,06 to 10
CONNEXION,FARRER PARK STATION ROAD,Office,"4,727,700.00",764.24,"6,186",Mar-25,Strata,71,"66,587",99 yrs lease commencing from 2007,08,06 to 10
CONNEXION,FARRER PARK STATION ROAD,Office,"4,857,480.00",785.77,"6,182",Mar-25,Strata,73,"66,541",99 yrs lease commencing from 2007,08,06 to 10
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"1,100,000.00",258.34,"4,258",Mar-25,Strata,24,"45,833",999 yrs lease commencing from 1871,09,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"1,130,000.00",516.67,"2,187",Mar-25,Strata,48,"23,542",99 yrs lease commencing from 2013,22,06 to 10
PARKWAY PARADE,MARINE PARADE ROAD,Office,"1,800,000.00",925.7,"1,944",Mar-25,Strata,86,"20,930",99 yrs lease commencing from 1979,15,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,250,000.00",516.67,"2,419",Mar-25,Strata,48,"26,042",99 yrs lease commencing from 2011,14,11 to 15
VISION EXCHANGE,VENTURE DRIVE,Office,"988,000.00",516.67,"1,912",Mar-25,Strata,48,"20,583",99 yrs lease commencing from 2013,22,16 to 20
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,000,000.00",936.47,"2,136",Feb-25,Strata,87,"22,989",99 yrs lease commencing from 2014,25,11 to 15
SULTAN PLAZA,JALAN SULTAN,Office,"346,888.00",236.81,"1,465",Feb-25,Strata,22,"15,768",99 yrs lease commencing from 1978,07,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,180,000.00",559.73,"2,108",Feb-25,Strata,52,"22,692",99 yrs lease commencing from 2014,25,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,693,000.00",958,"1,767",Feb-25,Strata,89,"19,022",99 yrs lease commencing from 1997,07,11 to 15
ONE CLAYMORE,CLAYMORE DRIVE,Office,"2,250,000.00","1,108.69","2,029",Feb-25,Strata,103,"21,845",Freehold,09,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"1,565,000.00",538.2,"2,908",Feb-25,Strata,50,"31,300",99 yrs lease commencing from 1975,09,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"1,280,000.00",914.94,"1,399",Feb-25,Strata,85,"15,059",99 yrs lease commencing from 1970,07,01 to 05
THE MODULES,JOO CHIAT ROAD,Office,"880,000.00",441.32,"1,994",Feb-25,Strata,41,"21,463",Freehold,15,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,718,000.00","1,108.69","1,550",Feb-25,Strata,103,"16,680",99 yrs lease commencing from 1980,07,16 to 20
ONE SOPHIA,SOPHIA ROAD,Office,"3,807,000.00","1,119.46","3,401",Feb-25,Strata,104,"36,606",99 yrs lease commencing from 2023,09,06 to 10
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"950,000.00",667.37,"1,424",Feb-25,Strata,62,"15,323",Freehold,14,01 to 05
CENTRIUM SQUARE,SERANGOON ROAD,Office,"1,917,000.00",710.42,"2,698",Feb-25,Strata,66,"29,045",Freehold,08,11 to 15
CENTRIUM SQUARE,SERANGOON ROAD,Office,"2,643,300.00",979.52,"2,699",Feb-25,Strata,91,"29,047",Freehold,08,11 to 15
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,676,000.00",958,"1,749",Feb-25,Strata,89,"18,831",99 yrs lease commencing from 1997,07,11 to 15
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,570,000.00","1,130.22","2,274",Feb-25,Strata,105,"24,476",99 yrs lease commencing from 2011,14,06 to 10
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,776,000.00","1,184.04","1,500",Feb-25,Strata,110,"16,145",99 yrs lease commencing from 2006,07,16 to 20
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,210,000.00",548.96,"2,204",Jan-25,Strata,51,"23,725",99 yrs lease commencing from 1969,06,11 to 15
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"385,000.00",247.57,"1,555",Jan-25,Strata,23,"16,739",99 yrs lease commencing from 1969,06,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"960,000.00",441.32,"2,175",Jan-25,Strata,41,"23,415",Freehold,15,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"937,777.00",473.62,"1,980",Jan-25,Strata,44,"21,313",99 yrs lease commencing from 1970,02,16 to 20
TEXTILE CENTRE,JALAN SULTAN,Office,"1,250,000.00",990.29,"1,262",Jan-25,Strata,92,"13,587",99 yrs lease commencing from 1970,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,163,000.00",538.2,"2,161",Jan-25,Strata,50,"23,260",99 yrs lease commencing from 2011,14,06 to 10
THE MODULES,JOO CHIAT ROAD,Office,"1,080,000.00",495.14,"2,181",Jan-25,Strata,46,"23,478",Freehold,15,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"7,785,500.00","4,230.25","1,840",Jan-25,Strata,393,"19,810",99 yrs lease commencing from 1970,02,31 to 35
PS100,PECK SEAH STREET,Office,"1,280,000.00",473.62,"2,703",Jan-25,Strata,44,"29,091",99 yrs lease commencing from 2011,02,06 to 10
JALAN BESAR PLAZA,KITCHENER ROAD,Office,"600,000.00",258.34,"2,323",Jan-25,Strata,24,"25,000",Freehold,08,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,900,000.00","1,151.75","1,650",Jan-25,Strata,107,"17,757",99 yrs lease commencing from 1997,07,01 to 05
ARC 380,JALAN BESAR,Office,"2,159,400.00",731.95,"2,950",Jan-25,Strata,68,"31,756",Freehold,08,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"5,947,000.00","1,689.95","3,519",Jan-25,Strata,157,"37,879",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"4,800,000.00","1,356.26","3,539",Jan-25,Strata,126,"38,095",99 yrs lease commencing from 2023,09,11 to 15
INTERNATIONAL PLAZA,ANSON ROAD,Office,"4,243,000.00","2,357.32","1,800",Jan-25,Strata,219,"19,374",99 yrs lease commencing from 1970,02,16 to 20
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,170,000.00",559.73,"2,090",Jan-25,Strata,52,"22,500",99 yrs lease commencing from 2014,25,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,100,000.00",958,"2,192",Jan-25,Strata,89,"23,596",99 yrs lease commencing from 2011,14,06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,660,000.00","1,076.40","1,542",Jan-25,Strata,100,"16,600",99 yrs lease commencing from 1980,07,16 to 20
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,050,000.00",548.96,"1,913",Jan-25,Strata,51,"20,588",99 yrs lease commencing from 1969,06,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,123,090.00",559.73,"2,006",Jan-25,Strata,52,"21,598",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,123,090.00",559.73,"2,006",Jan-25,Strata,52,"21,598",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,123,090.00",559.73,"2,006",Jan-25,Strata,52,"21,598",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,580,020.00","1,259.39","2,049",Jan-25,Strata,117,"22,051",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"960,000.00",516.67,"1,858",Dec-24,Strata,48,"20,000",99 yrs lease commencing from 2014,25,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"700,888.00",441.32,"1,588",Dec-24,Strata,41,"17,095",99 yrs lease commencing from 1969,06,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,880,000.00","1,140.98","1,648",Dec-24,Strata,106,"17,736",99 yrs lease commencing from 1997,07,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"1,400,000.00",699.66,"2,001",Dec-24,Strata,65,"21,538",99 yrs lease commencing from 2013,22,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,884,000.00","1,410.08","3,464",Dec-24,Strata,131,"37,282",99 yrs lease commencing from 2023,09,11 to 15
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,684,800.00",936.47,"1,799",Dec-24,Strata,87,"19,366",99 yrs lease commencing from 1970,02,26 to 30
FUYUEN COURT,SIMS AVENUE,Office,"605,500.00",409.03,"1,480",Dec-24,Strata,38,"15,934",Freehold,14,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"3,654,000.00","1,151.75","3,173",Dec-24,Strata,107,"34,150",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"6,004,000.00","1,743.77","3,443",Dec-24,Strata,162,"37,062",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"3,087,000.00",958,"3,222",Dec-24,Strata,89,"34,685",99 yrs lease commencing from 2023,09,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"688,000.00",376.74,"1,826",Dec-24,Strata,35,"19,657",99 yrs lease commencing from 1980,03,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"5,000,000.00","1,410.08","3,546",Dec-24,Strata,131,"38,168",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"3,381,000.00",947.23,"3,569",Dec-24,Strata,88,"38,420",99 yrs lease commencing from 2023,09,11 to 15
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"933,000.00",742.72,"1,256",Dec-24,Strata,69,"13,522",Freehold,15,06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,758,000.00","1,140.98","1,541",Dec-24,Strata,106,"16,585",99 yrs lease commencing from 1980,07,16 to 20
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,695,000.00","1,001.05","1,693",Dec-24,Strata,93,"18,226",99 yrs lease commencing from 1997,07,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"3,309,000.00",947.23,"3,493",Dec-24,Strata,88,"37,602",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"3,661,000.00","1,140.98","3,209",Dec-24,Strata,106,"34,538",99 yrs lease commencing from 2023,09,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,629,155.00",753.48,"2,162",Dec-24,Strata,70,"23,274",99 yrs lease commencing from 2014,25,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,138,500.00",495.14,"2,299",Dec-24,Strata,46,"24,750",999 yrs lease commencing from 1829,06,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"4,055,000.00","1,270.15","3,193",Nov-24,Land,118,"34,364",99 yrs lease commencing from 2023,09,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,480,000.00",850.36,"1,740",Nov-24,Strata,79,"18,734",99 yrs lease commencing from 1997,07,06 to 10
SLF BUILDING,THOMSON ROAD,Office,"8,800,000.00","9,450.79",931,Nov-24,Strata,878,"10,023",99 yrs lease commencing from 1979,11,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,775,000.00",559.73,"3,171",Nov-24,Strata,52,"34,135",999 yrs lease commencing from 1829,06,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"900,000.00",344.45,"2,613",Nov-24,Strata,32,"28,125",999 yrs lease commencing from 1829,06,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,738,800.00","1,237.86","1,405",Nov-24,Strata,115,"15,120",99 yrs lease commencing from 1997,07,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"8,487,000.00","2,486.48","3,413",Nov-24,Strata,231,"36,740",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"3,505,000.00","1,097.93","3,192",Nov-24,Strata,102,"34,363",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"3,755,000.00","1,097.93","3,420",Nov-24,Strata,102,"36,814",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"6,001,000.00","1,786.82","3,358",Nov-24,Strata,166,"36,151",99 yrs lease commencing from 2023,09,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,165,000.00",484.38,"2,405",Nov-24,Strata,45,"25,889",99 yrs lease commencing from 2011,14,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"2,890,000.00",925.7,"3,122",Nov-24,Strata,86,"33,605",99 yrs lease commencing from 2023,09,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"800,000.00",269.1,"2,973",Nov-24,Strata,25,"32,000",99 yrs lease commencing from 1980,07,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"4,388,000.00","1,356.26","3,235",Nov-24,Strata,126,"34,825",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,562,000.00","1,410.08","3,235",Nov-24,Strata,131,"34,824",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,823,000.00","1,410.08","3,420",Nov-24,Strata,131,"36,817",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"2,882,000.00",882.65,"3,265",Nov-24,Strata,82,"35,146",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"6,109,000.00","1,808.35","3,378",Nov-24,Strata,168,"36,363",99 yrs lease commencing from 2023,09,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"860,000.00",559.73,"1,536",Nov-24,Strata,52,"16,538",99 yrs lease commencing from 2014,25,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"3,594,000.00","1,097.93","3,273",Nov-24,Strata,102,"35,235",99 yrs lease commencing from 2023,09,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,658,300.00",721.19,"2,299",Nov-24,Strata,67,"24,751",99 yrs lease commencing from 2011,14,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,685,555.00",936.47,"1,800",Nov-24,Strata,87,"19,374",99 yrs lease commencing from 1970,02,26 to 30
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,108,000.00",548.96,"2,018",Nov-24,Strata,51,"21,725",99 yrs lease commencing from 2011,14,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"1,688,500.00",613.55,"2,752",Nov-24,Strata,57,"29,623",999 yrs lease commencing from 1827,06,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,280,000.00",731.95,"1,749",Nov-24,Strata,68,"18,824",99 yrs lease commencing from 1997,07,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"750,000.00",462.85,"1,620",Nov-24,Strata,43,"17,442",99 yrs lease commencing from 1970,02,06 to 10
REGENCY SUITES,KIM TIAN ROAD,Office,"2,120,000.00","1,033.34","2,052",Nov-24,Strata,96,"22,083",Freehold,03,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"695,000.00",312.16,"2,226",Nov-24,Strata,29,"23,966",Freehold,15,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,590,000.00","1,076.40","1,477",Nov-24,Strata,100,"15,900",99 yrs lease commencing from 1980,07,16 to 20
ONE SOPHIA,SOPHIA ROAD,Office,"3,738,000.00","1,162.51","3,215",Nov-24,Strata,108,"34,611",99 yrs lease commencing from 2023,09,06 to 10
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,045,800.00",581.26,"1,799",Nov-24,Strata,54,"19,367",99 yrs lease commencing from 1996,07,11 to 15
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,026,000.00",570.49,"1,798",Nov-24,Strata,53,"19,358",99 yrs lease commencing from 1996,07,11 to 15
SULTAN PLAZA,JALAN SULTAN,Office,"310,000.00",247.57,"1,252",Nov-24,Strata,23,"13,478",99 yrs lease commencing from 1978,07,01 to 05
ASCENT @ 456,BALESTIER ROAD,Office,"988,000.00",376.74,"2,622",Nov-24,Strata,35,"28,229",Freehold,12,01 to 05
FUYUEN COURT,SIMS AVENUE,Office,"1,450,000.00","1,550.02",935,Oct-24,Strata,144,"10,069",Freehold,14,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,200,000.00",678.13,"1,770",Oct-24,Strata,63,"19,048",99 yrs lease commencing from 1997,07,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"605,888.00",473.62,"1,279",Oct-24,Strata,44,"13,770",99 yrs lease commencing from 1970,07,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"6,600,000.00","5,963.26","1,107",Oct-24,Strata,554,"11,913",99 yrs lease commencing from 1969,03,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"710,000.00",387.5,"1,832",Oct-24,Strata,36,"19,722",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,240,000.00",548.96,"2,259",Oct-24,Strata,51,"24,314",99 yrs lease commencing from 2011,14,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"1,227,000.00",409.03,"3,000",Oct-24,Strata,38,"32,289",999 yrs lease commencing from 1827,06,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"936,000.00",312.16,"2,999",Oct-24,Strata,29,"32,276",999 yrs lease commencing from 1827,06,06 to 10
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"838,000.00",355.21,"2,359",Oct-24,Strata,33,"25,394",Freehold,15,01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"600,000.00",150.7,"3,982",Oct-24,Strata,14,"42,857",Freehold,14,01 to 05
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"640,000.00",484.38,"1,321",Oct-24,Strata,45,"14,222",Freehold,14,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"2,150,000.00",958,"2,244",Oct-24,Strata,89,"24,157",Freehold,09,11 to 15
GOLDEN MILE TOWER,BEACH ROAD,Office,"986,888.00",699.66,"1,411",Oct-24,Strata,65,"15,183",99 yrs lease commencing from 1969,07,16 to 20
SOHO LIFE,JOO CHIAT ROAD,Office,"760,000.00",398.27,"1,908",Oct-24,Strata,37,"20,541",Freehold,15,01 to 05
ORCHARD PLAZA,ORCHARD ROAD,Office,"740,000.00",452.09,"1,637",Oct-24,Strata,42,"17,619",99 yrs lease commencing from 1977,09,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"850,000.00",484.38,"1,755",Oct-24,Strata,45,"18,889",99 yrs lease commencing from 1997,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,318,000.00","1,065.64","2,175",Oct-24,Strata,99,"23,414",99 yrs lease commencing from 2011,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,230,000.00",559.73,"2,197",Oct-24,Strata,52,"23,654",99 yrs lease commencing from 2014,25,06 to 10
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"400,000.00",226.04,"1,770",Oct-24,Strata,21,"19,048",99 yrs lease commencing from 1980,03,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,120,000.00",635.08,"1,764",Oct-24,Strata,59,"18,983",99 yrs lease commencing from 1997,07,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,763,580.00",968.76,"1,820",Oct-24,Strata,90,"19,595",99 yrs lease commencing from 1970,02,16 to 20
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,150,000.00",667.37,"1,723",Oct-24,Strata,62,"18,548",99 yrs lease commencing from 1997,07,01 to 05
111 SOMERSET,SOMERSET ROAD,Office,"2,200,000.00",785.77,"2,800",Oct-24,Strata,73,"30,137",99 yrs lease commencing from 1975,09,11 to 15
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,688,888.00","1,011.82","1,669",Oct-24,Strata,94,"17,967",99 yrs lease commencing from 2006,07,16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"3,500,000.00","2,357.32","1,485",Oct-24,Strata,219,"15,982",99 yrs lease commencing from 1970,02,11 to 15
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,280,000.00",731.95,"1,749",Oct-24,Strata,68,"18,824",99 yrs lease commencing from 1997,07,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"920,000.00",462.85,"1,988",Oct-24,Strata,43,"21,395",99 yrs lease commencing from 1970,02,21 to 25
SOUTHBANK,NORTH BRIDGE ROAD,Office,"950,000.00",602.78,"1,576",Oct-24,Strata,56,"16,964",99 yrs lease commencing from 2006,07,01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"762,000.00",430.56,"1,770",Sept-24,Strata,40,"19,050",Freehold,14,01 to 05
TONG BUILDING,ORCHARD ROAD,Office,"33,500,000.00","6,867.43","4,878",Sept-24,Strata,638,"52,508",Freehold,09,06 to 10
TONG BUILDING,ORCHARD ROAD,Office,"35,000,000.00","6,867.43","5,097",Sept-24,Strata,638,"54,859",Freehold,09,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,620,000.00",936.47,"1,730",Sept-24,Strata,87,"18,621",99 yrs lease commencing from 1970,02,16 to 20
